날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,1호선,서울역,61380,58750,지하철
20230901,1호선,시청,28527,28773,지하철
20230901,1호선,종각,43893,43866,지하철
20230901,1호선,종로3가,29355,26756,지하철
20230901,1호선,종로5가,27878,27493,지하철
20230901,1호선,동대문,12293,11090,지하철
20230901,1호선,신설동,16136,15417,지하철
20230901,1호선,제기동,19458,19840,지하철
20230901,1호선,청량리(서울시립대입구),24133,23746,지하철
20230901,1호선,동묘앞,9995,10171,지하철
20230901,2호선,시청,29060,28010,지하철
20230901,2호선,을지로입구,54698,56326,지하철
20230901,2호선,을지로3가,28527,29040,지하철
20230901,2호선,을지로4가,16696,17175,지하철
20230901,2호선,동대문역사문화공원(DDP),16470,17847,지하철
20230901,2호선,신당,16878,17711,지하철
20230901,2호선,상왕십리,16517,15655,지하철
20230901,2호선,왕십리(성동구청),18254,16286,지하철
20230901,2호선,한양대,13036,14645,지하철
20230901,2호선,뚝섬,26581,28632,지하철
20230901,2호선,성수,44687,49769,지하철
20230901,2호선,건대입구,40565,44229,지하철
20230901,2호선,구의(광진구청),27563,26429,지하철
20230901,2호선,강변(동서울터미널),35789,34262,지하철
20230901,2호선,잠실나루,17425,16655,지하철
20230901,2호선,잠실(송파구청),82980,83296,지하철
20230901,2호선,잠실새내,26606,26977,지하철
20230901,2호선,종합운동장,18670,21614,지하철
20230901,2호선,삼성(무역센터),60983,61351,지하철
20230901,2호선,선릉,64125,56615,지하철
20230901,2호선,역삼,56344,64607,지하철
20230901,2호선,강남,89775,88434,지하철
20230901,2호선,교대(법원.검찰청),35046,42129,지하철
20230901,2호선,서초,24402,23053,지하철
20230901,2호선,방배,19875,20497,지하철
20230901,2호선,사당,44862,49501,지하철
20230901,2호선,낙성대(강감찬),31482,29163,지하철
20230901,2호선,서울대입구(관악구청),52741,50917,지하철
20230901,2호선,봉천,26658,24338,지하철
20230901,2호선,신림,60036,56297,지하철
20230901,2호선,신대방,28507,27152,지하철
20230901,2호선,구로디지털단지,65035,64566,지하철
20230901,2호선,대림(구로구청),25919,26344,지하철
20230901,2호선,신도림,55193,54556,지하철
20230901,2호선,문래,25123,26145,지하철
20230901,2호선,영등포구청,24175,24792,지하철
20230901,2호선,당산,20672,24097,지하철
20230901,2호선,합정,36602,41301,지하철
20230901,2호선,홍대입구,71723,81971,지하철
20230901,2호선,신촌,43963,45463,지하철
20230901,2호선,이대,19026,20349,지하철
20230901,2호선,아현,12843,11790,지하철
20230901,2호선,충정로(경기대입구),11357,12051,지하철
20230901,2호선,용답,3229,3237,지하철
20230901,2호선,신답,1915,2041,지하철
20230901,2호선,신설동,4060,3866,지하철
20230901,2호선,도림천,1500,1522,지하철
20230901,2호선,양천구청,7749,8124,지하철
20230901,2호선,신정네거리,11493,11680,지하철
20230901,2호선,용두(동대문구청),2849,2765,지하철
20230901,3호선,지축,7807,7691,지하철
20230901,3호선,구파발,24026,22828,지하철
20230901,3호선,연신내,38908,37253,지하철
20230901,3호선,불광,18323,19635,지하철
20230901,3호선,녹번,17889,15906,지하철
20230901,3호선,홍제,20109,18937,지하철
20230901,3호선,무악재,4938,4746,지하철
20230901,3호선,독립문,8369,8326,지하철
20230901,3호선,경복궁(정부서울청사),28073,28500,지하철
20230901,3호선,안국,29269,30169,지하철
20230901,3호선,종로3가,12194,14916,지하철
20230901,3호선,을지로3가,13766,14367,지하철
20230901,3호선,충무로,4,0,지하철
20230901,3호선,동대입구,10382,11589,지하철
20230901,3호선,약수,15051,14543,지하철
20230901,3호선,금호,9207,8476,지하철
20230901,3호선,옥수,10247,10209,지하철
20230901,3호선,압구정,36161,39431,지하철
20230901,3호선,신사,32004,33864,지하철
20230901,3호선,잠원,6077,5670,지하철
20230901,3호선,고속터미널,53978,53382,지하철
20230901,3호선,교대(법원.검찰청),18933,11313,지하철
20230901,3호선,남부터미널(예술의전당),35139,35312,지하철
20230901,3호선,양재(서초구청),43468,45868,지하철
20230901,3호선,매봉,14265,13844,지하철
20230901,3호선,도곡,5788,5797,지하철
20230901,3호선,대치,14014,14193,지하철
20230901,3호선,학여울,5024,5234,지하철
20230901,3호선,대청,12195,11325,지하철
20230901,3호선,일원,12738,11768,지하철
20230901,3호선,수서,21422,21620,지하철
20230901,3호선,가락시장,10532,10274,지하철
20230901,3호선,경찰병원,8628,8456,지하철
20230901,3호선,오금,7548,6739,지하철
20230901,4호선,당고개,10656,9154,지하철
20230901,4호선,상계,22305,20741,지하철
20230901,4호선,노원,21505,25823,지하철
20230901,4호선,창동,29044,30805,지하철
20230901,4호선,쌍문,32477,29841,지하철
20230901,4호선,수유(강북구청),37947,38579,지하철
20230901,4호선,미아(서울사이버대학),17611,17047,지하철
20230901,4호선,미아사거리,29768,29272,지하철
20230901,4호선,길음,24594,23741,지하철
20230901,4호선,성신여대입구(돈암),24561,23797,지하철
20230901,4호선,한성대입구(삼선교),16263,15253,지하철
20230901,4호선,혜화,40515,40208,지하철
20230901,4호선,동대문,22760,22541,지하철
20230901,4호선,동대문역사문화공원(DDP),20441,17452,지하철
20230901,4호선,충무로,34229,35719,지하철
20230901,4호선,명동,35073,37765,지하철
20230901,4호선,회현(남대문시장),29650,31050,지하철
20230901,4호선,서울역,14404,24185,지하철
20230901,4호선,숙대입구(갈월),16437,16128,지하철
20230901,4호선,삼각지,7049,8002,지하철
20230901,4호선,신용산,23001,25034,지하철
20230901,4호선,이촌(국립중앙박물관),10066,10922,지하철
20230901,4호선,동작(현충원),2151,2347,지하철
20230901,4호선,총신대입구(이수),21771,23619,지하철
20230901,4호선,사당,30321,26799,지하철
20230901,4호선,남태령,1591,1195,지하철
20230901,5호선,방화,7739,7398,지하철
20230901,5호선,개화산,6635,6281,지하철
20230901,5호선,김포공항,9596,7581,지하철
20230901,5호선,송정,7119,6794,지하철
20230901,5호선,마곡,12930,13414,지하철
20230901,5호선,발산,23778,25176,지하철
20230901,5호선,우장산,16865,16450,지하철
20230901,5호선,화곡,32281,29580,지하철
20230901,5호선,까치산,31586,29784,지하철
20230901,5호선,신정(은행정),15386,12459,지하철
